宪明 - 来不及说对不起|魏俫原创合集
与猶啓至 - 桃源万仙陣|
与猶啓至 - 霧露乾坤網|
裏谷玲央 - 戦慄|
裏谷玲央 - 無念|
緈諨 - 抹去泪水|
高桯砝 - 欢迎你到老勐来|
儿童歌曲 - 22瘌蛤蟆想吃天鹅肉|
泯比沙子 - 無礼講|
古枂 - 故乡|
芳蓼歌 - 桃花劫|
梁祝 - 148 (越剧名家名段 十相思 章瑞虹 颜恝)|
関口诚人 - 天河伝説杀人事件|
吕鹛 - 这里是田村|
如煙 - 斷橋殘雪|
进恩哥 - 哝是南丰人|
鍾 - 听不到的说话|
関俊彦 - 般若心経 読経 (般若心经 读经)|
我係啱嘅 - 万水千山总是情|
川井憲次 - 銀河無責任音頭|
奇才 - 勒是大遵义|
文柒兩 - 缘尽世间|
华语群星 - 黑缎子坎肩 (蒙语版)|
鶴岚 - 竹枝词|
種村有菜 - 少女純白書|
東地宏樹; 石塚運昇; 江原正士 - 彷徨|
落英琴韵 - 甜甜的畲歌|
三畿道 - 我的天空|
天睚侞儚 - 在我心里没有谁能代替你|
置鮎龍太郎 - 恋物語|
艾糯勐傣 - 离开你之后|
赤羽根健治 - 八号収容 (馨)|
赤羽根健治 - 八号収容 (薫)|
剣幸 - 愛!|
网络歌手 - 帝王魂 (阿卡兕)|
沵儿 - 今夜的你又在和谁约会|
叮噹 - 再遇不到你这样的人|
岡本信彦 - 嫉妬|
重劍無鋒 - 有心人|
网络歌手 - 哇噻电话又来了快乐阿拉蕾|
荒御霊 - 低年齢社会|
荒御霊 - 西暁|
阳子 - 带你回泗阳|
儿童歌曲 - 蜜蜂叮癞痢|
六弌 - 水星|
瓿茗 - 倒数|
李嫵伈 - 没人心疼的玫瑰|
李嫵伈 - 风筝|
瓿茗 - 陷阱|
噗嗵咚咚 - 月光森林|
蓓蓓荚 - 繁华迷梦|
郭锌 - 想见你想见你想见你|
長谷川健一 - 誕生日|
玉面 - 一抔烫手的冰|
成始璄 - 在街上 (原版伴奏)|
戸塚修 - 西部哀歌|
戸塚修 - 予告 (预告)|
戸塚修 - 追撃|
戸塚修 - 哀愁|
儿童歌曲 - 04 生意盎然|
镹阳 - 干就得了|
李偲 - 青春电影|
下輩子繼續 - 每一步|
纯音乐 - 殤雪|
玄觞 - 古风香繇 (玄觞版)|
手塚理 - 船上舞踏会|
聼悦 - 赶快工作歌|
手塚理 - 魔神降臨|
手塚理 - 空中銃撃|
学顺服 - 生机盎然|
爻-梁颖 - 悟空传|
沙稷清 - 有可能的夜晚|
文工团声乐队 - 羊肉泡馍美呔呔|
娌小涵 - 我的唇吻不到我爱的人|
李嫵伈 - 曲终人散|
京剧 - 白帝城恨不得把吴狗顷国灭尽|
京剧名家名段 - 摘缨会|
徐全心 - 扫松下书 我拜的是忘恩负义的蔡伯喈|
小菲 - 没有你的日子我真的好孤单 (嘿嘿.1.直想唱给伱的)|
李嫵伈 - 放下所有放不下你|
徐太志 - 交感16. 徐太志和孩子们 (時代遺憾)|
紟貹無悔 - 想你的痛|
儿童歌曲 - 05 小男孩布魯|
_紫紫_ - 第十三章 符箓夺命|
昝弟 - 这一生关于你的风景|
李嫵伈 - 爱你一百岁|
渫泱 - 晴川雪|
汵宇 - 叹云兮|
岁 寒 - 边陲有颗闪亮的星|
大澐 - 直觉|
阿葜 - 茶马古道|
老街樂隊光輝 - 禪音|
网络歌手 - 邓逦君一一恰是你的温柔|
滴水微谰 - 等一分钟|
网络歌手 - 你是兄弟还是狗 (阿卡兕)|
寺島拓篤 - 久遠|
寺島拓篤 - 萌芽|
寺島拓篤 - 牡丹|
胡伟立 - 勵志|
本缨 - 半粒糖|
鄒偉龍 - 弹起我心爱的土琵琶|
儿童歌曲 - 209<驢羡蟬音>|
灰白 - 鸩羽钗|
豫剧 - 选段 - 吃烩面 贾文龙|
青木望 - 冒険:孤独~追跡|
张肖 - 霧的回蕩|
丅一詀垨候521 - 今生最爱|
夣澤 - 我最爱的人 (闽南语)|
梁宇軒 - 异域之归途|
森高千里 - 侾俈嵥|
風啲菋噵 - 桥边姑娘|
翟旭琴 - 九嶷山|
黄沾 - 岌岌可危|
04 - 哈密垫步舞麦西来普曲1 (2)|
许篙 - 庐州月|
周倜 - 芒果|
周倜 - 黄金时代|
周倜 - 喂乔|
网络歌手 - 息愁 记 重紫 唱 欹欹 念凤三 洛维|
字丽华 - 夸萼山|
帥莮孓灬 - 再回首-姜育恒|
中唱群星 - 方展荣 (呾起俺家乡)|
汤骏业 - 推銷員之死|
群星 - 拶子本是五根柴 (曲剧版)|
张过年 - 酩酊河|
罗漢 - 飞鸟与海|
金河 - 杜瓦赉|
葉啟田 - 可怜的人 (女調浪人李)|
吴璁颢 - 冬眠|
豆豆 - 沭阳文明拍手歌|
林再明 - 珍珠塔 前见姑 侄儿并非败家子|
鈊语 - 梦醉西楼|
哚哚 - 荷塘月色|
尤长靖的胃啦 - 一颗星的夜|
日本群星 - (朗読5)花火|
日本群星 - (歌 1)鯨法會|
譕悔 - 别怕 我在|
日本群星 - (朗読1)大漁|
成始璄 - 第一次 (原版伴奏)|
隆欣桁 - 八月的花|
樋口智透 - 執着|
琳茯丝 - 十年|
坂部剛 - 白鉄|
外山和彦 - 暗殺者|
宝塚歌劇団 - 組長挨拶 初舞台生口上;宝塚歌劇団団歌|
张怡新(十三齿) - 摯诚守信群策群力|
中唱群星 - 11.蒋祖缋 - 五洲人民|
陈鹏杰 - 山河社稷图|
那些好听的明星翻唱 - 思念是一種病-女生吉他弹唱|
儿童歌曲 - 月亮嬤嬤|
嫌弃 傻狍子 - 煨薇 临川唤渡|
郇世龙 - 你不来我不老|
下輩子繼續 - 算你狠|
张星郕 - 瀞 (原版伴奏)|
李嫵伈 - 最美的已成为过去|
儿童歌曲 - 14 兩個兩個數 - 數字兒歌 - 碰碰狐!兒童兒歌|
儿童歌曲 - 110.小篙笆|
刘立君 - 激动的心顫抖的手|
周濂铖 - 没有你的日子我真的好孤单|
暹罗猫组合 - 焰火|
暹罗猫组合 - 快乐时间|
好听的动漫纯音乐 - 风之甬道,清澈纯净的声音|
纯音乐 - 曹丕登基|
儿童歌曲 - 雨中盛开伞花花 (安渃谦)|
儿童歌曲 - 12 從一數到十 - 數字兒歌 - 碰碰狐!兒童兒歌|
儿童歌曲 - 12 小布鳥|
纯音乐 - 何琪吇裹马调|
絢香 - 1 2 3 4|
 夨 憶 針 - 热气球|
郭建忠 - 欢乐的达斡尔|
绫糾 - 流年方|
杭州越剧院 - 叽呖叽咋啦咋|
缡听风 - 冷冷又清清|
領獎 - 最远的你是我最近的爱|
亞熱帶的北極熊 - 紅蓮華|
缨缡 - 谢君风流一衣寒|
穿着白大褂的农民工 - 豆豆小天使|
戏玹 - 采茶歌|
韩传芳 - 睫.溋|
漢 - 紫煙|
小戨 - 泳思|
卬卬 - 说了再见 (向晋锋)|
@?文?静 - 似是故人来|
李小庫 - 家乡的小石桥|
邓健泓 - 戆男 (原版伴奏)|
昝弟 - 暗恋的心|
李嫵伈 - 你背着我好上别人|
姜喜良 - 鄱阳湖|
王昦 - 都市人|
梁宇軒 - 星空下的海堤|
近藤隆 - 熾火|
卬卬 - 寂寞先生 (向晋锋)|
卬卬 - 安和桥|
儿童歌曲 - 149.昐红军|
卬卬 - 不找了|
卬卬 - 20岁的某一天|
许骢贺子 - 彩虹+园游会+开不了口+回到过去+七里香+退后+牛仔很忙-串烧|
儿童歌曲 - 一个豆荚里的五粒豆|
王宗瑭 - 八百里大秦川|
尛琂 - 忘记时间|
萌出汁的童声 - 小泥鰍|
金联軒 - 忘情牛肉面|
韩兆 - 条子住别墅|
李嫵伈 - 明知你不会来|
基督教歌曲 - 在末世当中仍然遵行神的旨意 (恩典365)|
歳月儒歌 - 红星照我去战斗|
儿童歌曲 - 示子侄|
濁空風炎 - 十二镇魂歌|
茉妡 - 与春令|
云深路脩 - 胡不归纯歌曲|
阿小聍 - 爱神宸宸|
亦乐 - 长安谝|
云深路脩 - 胡不归剧情歌|
戎倥 - 不良人|
盎然不息 - 人间第一情 (盎然版)|
元絳 - 是风动|
夏罹 - 希望之花|
紫薇 - 峇厘岛 (自制版伴奏)|
使徒礼賛 - 祝福|
葱 - 蛍|
荍帝 - 鱼玄机|
棹歌飘渺遥 - 晓秋月明|
玉簫飛禪洞箫雅集 - 水榭藏锋|
玉簫飛禪洞箫雅集 - 妆台秋思|
阿卡组合 - 爱伲祝酒歌|
塰綿寳 - 他还在|
风吹过雨无痕 - 馈赠的伤害|
尛尛月 - 把握你旳美|
索朗卓玛 - 抺玉米|
狑哯蓵頭 - 爱笑的眼睛|
小千 凌之轩 - 柸中误|
撸狗二人组 - 夕景吔*特逮|
中唱群星 - 4.遵义会议放光|
菡萏 - 我的指望在乎你|
狑哯蓵頭 - 大城小爱|
中唱群星 - 王亦謌 (走进)|
中唱群星 - 立3211-李存琏-10.送阿哥相别在红|
王依伈 - 王依伈|
隠身 - 浮夸|
月缨 - 江南旧梦|
刖真 - 那些年|
焰小青 更让秋卓镜子 小爱的妈 - 风华录+雅蠛蝶 (妹纸版)|
聼悦 - 邻舍就在身旁歌|
狑哯蓵頭 - 天黑|
狑哯蓵頭 - 如果你还爱我|
石井竜也 - 星空|
一体机米米号 - 大菠蘿|
無訫絕戀 萧然 - 情醉|
薄雪万年 - 柸中雪|
孟赪昊 - 灵异幸福街|
湯柊月 - 水带|
李嫵伈 - 看不见你的爱|
李嫵伈 - 月光入城|
李嫵伈 - 是否爱过|
中唱群星 - 濮阳 (智取威虎山.为革命哪怕)|
家人一大箩 - 咫尺相思|
塰綿寳 - 公主梦|
王一鍜 - 泡沫|
儿童歌曲 - 13 從一數到二十 - 數字兒歌 - 碰碰狐!兒童兒歌|
捂脸姐姐 天韵晓晓 - 一起去私奔|
伊喏 - 稻草人|
踟蹰 - 兰若词|
歪桐 - 澧兰沅芷|
晓壯 - 温柔的替身|
缡听风 - 梦回外婆桥|
渃韻 - 心上的罗加|
约珥 - 天父的呼唤|
覀洣 - 愿得一人心|
亚东 - 煨桑|
隠身 - 爱我别走|
中唱群星 - 成都-1983-歌曲:郁钧剑男高音独唱-05.湘西有条猛峒|
狑哯蓵頭 - 老鼠爱大米|
弭沅 - 腐草为萤|
猫.橙 狑哯蓵頭 - 飞机场|
圝 苍狼 圝 - 再度重相逢+美酒加咖啡|
渃韻 - 含羞花|
厭世 - 穿越时空的思念|
荼荠 - 白蛇|
林子涵 - 呀嗬呀嗬 (童声版)|
呜哝酱 - 才不需要什么时光机 (中文版)|
狑哯蓵頭 - 在你身边|
为了狮子头 猫饭 小鹿丸子 - 去北京看冰雹|
金猪 醫生俊俊 - 玫瑰堡垒|
狑哯蓵頭 - 大笑江湖|
惜酹 - 妈妈真的很受伤|
狑哯蓵頭 - 找自己|
狑哯蓵頭 - 心肝宝贝|
踟蹰 - 剑啸江湖|
波澜鈂沙 - 长相思令 曲恢恢|
狑哯蓵頭 - 童话|
湜非 - 游子的思念|
塰綿寳 - 逆战 (崩溃版)|
噗嗵咚咚 - 猎受计划|
儿童歌曲 - 132 老母鸡,帶小鸡|
潋音蝶火 - 回答|
狑哯蓵頭 - 爱的供养|
藺六 - 夜总会女孩|
蓁擎黏埭 - 谢谢你|
狐言乱羽 朝乐夕舞 温雨熙 - 蹁跹|
王偲俪 - 大爱莆田我的家园|
二媱 - 负心|
知院事丹书墨箓 - 寥寥天风|
婷婷 狑哯蓵頭 - 今天你要嫁给我|
我係啱嘅 - 万里长城永不倒|
梁宇軒 - 异域风情|
网络歌手 - 眼看小妹长得膘 牟定左脚舞|
久石譲 - 壬生義士伝|
梁颜汐 - 红尘殁|
珍爱之选我们的歌 - 即便我们觉得情路崎岖,但也没有多少人敢说自己知道爱情的名字该如何写?|
狑哯蓵頭 - 思念是一种病|
内蒙安妮 张温柔 - 採茶归来|
潋音 - 再见|
狑哯蓵頭 - 你不知道的事|
云南元谋索玛花广场舞 - 我爱你勐巴拉娜西 (广场舞)|
狑哯蓵頭 - 一直很安静|
隠身 - 干物女|
狑哯蓵頭 - 爱情转移|
南苣 小鹏友 - 过分温柔|
舌尖上的中国 - 盐焗鸡|
勐板星空乐队 - 心痛|
果冻它姐 - 一望风月 一蓑烟雨|
踏乡墨客 - 千秋月別西楚將|
狑哯蓵頭 - 那些年|
三硝基甲苯 - 凯文凯文来交往吧|
泠軒 - 吾命骑士 (黑阳版)|
鵬鵬音樂 - 禁區夢千年|
爨萏蜜麟 - 猪猪侠|
戚花眠 楸楸 - 攻防加油|
湜非 - 飘雪的冬季|
狑哯蓵頭 - 爱转角|
慕缌杰 - 爱的呼唤|
嬿児 - 长相依|
佚名 - 榣山之月|
沙拉莹 - 玉砌霜|
潮剧 - 潮剧 狱中受尽鞭笞苦|
李少春 - 京剧 打侄上坟 张公道三十五六子有靠|
弭沅 - 泸沽寻梦|
狑哯蓵頭 - 荷塘月色|
狑哯蓵頭 - 第一次|
彭洪青 - 雄起的遵义|
芹菜 - 社稷 (芹菜版)|
狑哯蓵頭 - 懂你|
择荇 - 绿竹巷|
苏郁青 酥鱼鲭 - 洗剪吹|
竹摇风掣 - 展猫儿的咆哮|
狑哯蓵頭 - 你不像她|
狑哯蓵頭 - 错的人|
狑哯蓵頭 - 烟火|
阿廃 - 泾渭|
赫遜河海豚 - 情梦初醒|
陈泗旭 - 陈泗旭 (人质)|
陈泗旭 - 陈泗旭 (我们都是好孩子)|
陈泗旭 - 陈泗旭 (悟空)|
小隗 - 悼残颜|
陈泗旭 - 陈泗旭 (你要的爱)|
陈泗旭 - 陈泗旭 (姑娘)|
风尘三俠 - 换到千般恨|
陈泗旭 - 陈泗旭 (蝴蝶花)|
捂脸姐妹 - 两只老虎|
柯海员 蒋祖缋 - 江姐|
月缨 - 南有乔木|
源正康 腾云驾雾琉璃仙 - 埙篪难鸣|
漴尔 - 意难平|
狑哯蓵頭 - 祝我生日快乐|
初音 鸰鸢 - 神的随波逐流|
李直 - 青龙偃月刀|
無訫絕戀 - 爱的供养|
乔绫 兜.緈鍢 - 藏策|
飛鷹阿偉 - 爱在网络|
花世 - 蛍|
鵸荼 - 棠梨煎雪|
山下康介 - 銀河震撼!皇帝出陣|
儿童歌曲 - 第一册 盥洗如厕|
蚌埠张宇 - 太阳出来火辣辣|
霰若 - 团栾|
中唱群星 - 第2面-04.螃蠏|
野島健児 - 野島健児(陸遜/呉)編|
朱桎材 - 夜空中最亮的星|
十疴 - 杏仁|
网络歌手 - 争返啖气 (屋仔乐队)|
李清升 - 人王 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
勐板星空乐队 - 西双版纳欢迎你|
其樂無窮 - 瓜洲渡怀古|
褵墨 天天 - 笼|
李冰 - 乐儿嗬喂唱起来|
等怩 - 我爱家乡格桑花|
镡励 - 一路有你|
虞淙 - 叫我怎能不歌唱|
李清升 - 让我后悔一次吧 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
张芰铧 - 心为你碎泪为你流|
余苼 - 江海不渡你|
张火丁 - 京剧春闺梦选段被纠缠陡想起婚时情景|
俊星卢少爺 - 此生不换|
爻乐队 - 游|
夜猫 - 絔姬别|
黑蝶 - 証|
蒓荭铯 - 伤心路程|
南宫秋澧 - 红颜劫|
丁一 - 江城摇橹人|
銭.伽羅 - 渡月桥|
山下康介 - 巨大兵団大逆襲|
泡泡音 工廠 - 真爱你的云|
儿童歌曲 - 谐噱歌|
大塚愛 - 金魚花火 (原版伴奏)|
锅锅 - 百億光年|
资资 - 山鳩|
余苼 - 还有我 (片段)|
岩温勐 - 岩温勐|
遊佐浩二 - 張遼|
余苼 - 桥边姑娘|
中唱群星 - 潮州音乐 4-07.过街蹓-林吉衡二弦领奏-|
李清升 - 阿卡然 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 今天是你的生日 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
余苼 - 后会无期|
余苼 - 百花香 (片段)|
李清升 - 阿妈阿达 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
汵宇 - 酒醉的蝴蝶|
任浩 - 畲族姑娘美|
競喆 - 神奇的口袋|
儿童歌曲 - 小侄女的精彩语录|
都暻秀 - 清唱|
金河 - 扎赉特之歌|
网络歌手 - 我的将军啊 (卟咯)|
朱桎材 - 消愁|
朱桎材 - 画|
顾顼 - 后会无期|
梁宇軒 - 异域之火舞黄沙|
鈴子 - 渡良瀨橋|
吴璁颢 - 突然好想你|
吴璁颢 - 最长的电影|
真情 鈅侊 - 相思梦|
李清升 - 我们还能浪费多少天的时间 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
阿葜 - 卓玛|
星椛火 - 纵横天下|
李冬樱 - 如果你到遵义来|
春风乐团 林楚添 何统通 - 满三孃劳军|
郭锌 - 桥边姑娘|
阿淩 - 三千渡尘|
阿伦 - 殢无伤|
王星星 - 责任 (沭阳责任文化之歌入围作品)|
网络歌手 - 贾文龙 戏歌 烩面好吃豫剧好听|
淡淡梅香 - 桃花坳|
佚名 - 榣山遗韵 (古筝版)|
荒木毬菜 - 単色秋夢|
吴泗滨 - 逆行壮歌|
白顺 - 扎赉特我思恋的故乡|
計畫通行 - 妄想税|
关晓雩 - 若浮萍|
陈柏宇 - 爱的替身 (2017流行經典50強第六集现场)|
叮噹 - 炸山姑娘|
李清升 - 我可不可以爱你呢 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
鸿运 - 欢乐的达斡尔|
纯音乐 - 没有福去爱你 (艾糯勐傣)|
酗酒的乌鸦 - 只要你还需要我|
志倉千代丸 - 悲愴|
蓝四爷 尔语 - 佝偻暮影斜|
李清升 - 爱家乡 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
马关辉 陶艺丹 - 醉美遵义|
儿童歌曲 - 10 十隻蒼蠅 - 數字兒歌 - 碰碰狐!兒童兒歌|
李清升 - 我俩的爱情 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 友谊长存 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
閦歆 - 迟到的缘分错误的相遇|
@?文?静 - 千千阙歌|
李清升 - 请不要为我哭泣 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
楊麗花 青蓉 森仔 歌仔戲 - 狂花 探郎君 缺飄香 字幕|
李清升 - 建设哈尼族的世界 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 好好珍惜 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
袁双洋 - 崀山 我的大哥|
豫剧 - 虢都遗恨 一声娘叫的我心酸阵阵 原唱|
李清升 - 离别时的话语 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
朱芃菲 - 打工哥哥啥时回|
王偲俪 - 爱已无边无际|
李清升 - 爸妈,我爱你俩 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
牧野渃溪 - 主人欢迎回来|
李清升 - 不让眼泪陪我过夜 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
周爱军 - 鄱阳湖口石钟秀|
李小庫 - 欢乐的跳吧|
土豆 - 老吒乸|
杜雨舸 - 繁星|
李清升 - 曾经你说过爱我 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 我祝你幸福吉祥 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 我们每个人都爱人类的世界 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 我在这边伤心 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
刘钰茈 - 樱花草|
沁心小筑 - 走在乡间的小路上|
李清升 - 要好好的活下去 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 相亲相爱不离分 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 有梦想就努力吧 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 要我这样想念吗 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
歆暚 - 处处吻|
爻爻广播剧社翻唱组 - 盗墓应援|
袁哓阳 - 求求你嫁给我吧|
張鳴 - 启程|
李清升 - 我的梦想 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
閦歆 - 没有你的我|
李清升 - 我的家乡 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 你是我的阿布阿布然 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
韋小剛 - 好想成个家|
紫溆 - 绯羽怨姬|
李清升 - 你是我的阿布阿布然 (重制版哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 老挝姑娘 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 最后一次相聚 (哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
欧阳志信 - 十个女仔 (粵语)|
龍飄飄 - 最後的夜快車(修復版)|
龍飄飄 - 那個人就是我(修復版)|
龍飄飄 - 無情的火車(修復版)|
龍飄飄 - 請你放開我(修復版)|
龍飄飄 - 後悔愛上你(修復版)|
龍飄飄 - 昨夜夢見你(修復版)|
龍飄飄 - 憶往事(修復版)|
龍飄飄 - 給我溫情吧愛人(修復版)|
清弄 - 偲芳歌|
龍飄飄 - 愛情如水向東流(修復版)|
龍飄飄 - 晚風(修復版)|
欧阳志信 - 小苹果 (粵语男声版)|
三木眞一郎 - 邂逅|
山西绛州鼓乐艺术团 - 拉呱 (香港)|
欧阳志信 - 别做世上负心人 (粵语男声版)|
李嫵伈 - 我的唇吻不到我爱的人|
中唱群星 - 妇女能顶半边天(伽倻琴|
康橋 - 繡荷包(演奏版)|
龍飄飄 - 空留回憶(修復版)|
龍飄飄 - 心上人(修復版)|
龍飄飄 - 枕畔留香(修復版)|
龍飄飄 - 丟不了的情意(修復版)|
龍飄飄 - 美酒加咖啡(修復版)|
龍飄飄 - 為什麼離開我(修復版)|
浪跡天涯&姍妮 - 酒中花 (合唱閩南語歌曲)|
佀命 - 浪人情歌|
沙麻俚伽 - 佳支依达格萨萨|
点厾艺宛 - 年过三十的朋友点|
孟映 - 达斡尔母亲|
李嫵伈 - 在梦中|
张清蛟 - 蓑衣樊赞歌|
海峽依依 - 忘忧草|
俞迅爰(好运). - 中华民歌唱不完 (俞迅爰演唱版)|
仲天 - 宦游|
下輩子繼續 - 潇洒走一回|
韦遵政 - 我来海口这几年|
李嫵伈 - 相思引|
谩语 - 洛神赋|
近藤浩治 - 勇者伝説|
军旅歌曲 - 遵义会议放光芒|
中山真斗 - 瘡蓋|
若雪紛飛 - 哑巴新娘|
仁炟法师 - 南无阿弥陀佛|
中唱群星 - 刘胡兰 选段-04.冰天雪地冷飕|
儿童歌曲 - 皂荚树上挂油灯|
古枂 - 缘分|
葉一鳴 - 听风的歌|
窦唯 - 稷|
颜王词嶽 - 南北 (空拍版)|
黄训国 - 鄱阳湖|
林美璊 - 天与多情 (纯音乐)|
谢浛露 - 三万英尺 (慢四版)|
海越 - 风乎舞雩|
這個小子有點壞34 - 寻找西门庆|
儿童歌曲 - 11 從一數到五 - 數字兒歌 - 碰碰狐!兒童兒歌|
刘建江 - 我在张掖等着你|
镹阳 - 别知己|
镹阳 - 爱如星火|
陈杰 - 一嗟呀|
李清升 - 和平的世界 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
李清升 - 哈尼族阿卡人的节日 (纯说唱哈尼族歌曲爱伲族歌曲阿卡语歌曲)|
嵊泗列岛 - 你<<孝庄秘史片头曲>>|
蓝色耽美狼 - 君不归|
张凤英 - 一声痛呼泪飞迸|
九歌艾草 - 古剑一 榣山遗韵 - 古筝|
霐 - 后悔没有珍惜你|
暹罗猫组合 - 极光|
暹罗猫组合 - 极光乡|
儿童歌曲 - 續小兒語六言9:12行領讀版|
儿童歌曲 - 續小兒語頁1領讀版|
儿童歌曲 - 續小兒語六言:32行領讀版|
儿童歌曲 - 續小兒語六言228行領讀版|
儿童歌曲 - 續小兒語六言行領讀版|
儿童歌曲 - 續小兒語頁4領讀版|
儿童歌曲 - 續小兒語頁3領讀版|
儿童歌曲 - 續小兒語頁5領讀版|
海容百川 - 石壕吏|
儿童歌曲 - 續小兒語頁2領讀版|
柰柰 - 烟烧|
爍妍 - 坏又帅|
雲霂霜 - 离兮|
儿童歌曲 - 續小兒語六言:16行領讀版|
儿童歌曲 - 續小兒語六言17:行領讀版|
儿童歌曲 - 續小兒語六言1:4行領讀版|
儿童歌曲 - 續小兒語頁7領讀版|
儿童歌曲 - 宣州谢朓楼饯别校书叔云|
査艳焰 - 庐山七尖幽兰茶歌|
儿童歌曲 - 續小兒語頁6領讀版|
歌海李佂 - 欢乐山寨|
王驣 - 断片|
番凩|
缡听风 - 恋人心曲|
金彪 - 淬火青春|
儿童歌曲 - 16 布拉姆斯的搖籃曲|
中唱群星 - 我们心中的红太阳毛主席(伽倻琴|
斯琴高丽 - 花专属+纹閣 (猜)|
中唱群星 - 濮阳 (智取威虎山为解放全人类我勇)|
张朋娜 - 何必为钱来怄气|
仁炟法师 - 观世音菩萨普门品|
儿童歌曲 - 形状认知儿歌--椭圆形2|
儿童歌曲 - 只吃饽饽不吃奶|
跩謌 - 孽情缘|
儿童歌曲 - 形状认知儿歌--椭圆形|
鍾蘇 - 稻香|
伊真湖芏梨 - 堕落天使|
北小堂 - 梦回傩乡 (大众版)|
和田薫 - 剣鬼|
三畿道 - 界外科学|
冰渃灆 - 红颜白发+迷途+海浪|
飄然一過 - 君行|
贝瓦儿歌 - 积雨辋川庄作|
贝瓦儿歌 - 赋得暮雨送李胄|
亚天 - 幸福曾唾手可得 (原版伴奏)|
歳月儒歌 - 白云|
歳月儒歌 - 惜别的海岸|
贝瓦儿歌 - 与诸子登岘山|
京剧 - 独守空帏暗长叹 (原版伴奏)|
廖峻 - 空崁仔兄 (降调版伴奏)|
濑田水一 - 凶夢伝染|
镹阳 - 碎心石|
歳月儒歌 - 舞女|
川井憲次 - 宇宙海賊来襲!|
歳月儒歌 - 最后的夜快车|
三仟猴爵 - 琅玕|
仁炟法师 - 南无伽蓝菩萨|
妃祀 嗷呜 - 帝王冢|
俊星卢少爺 - 可惜没如果|
罗钎予 - 请给我一点时间 (原版伴奏)|
俊星卢少爺 - 无期|
俊星卢少爺 - 阿果吉曲|
汪汪 - 氷水色|
李炤君 - 安之 (原版伴奏)|
蓝色耽美狼 - 情字伤|
赫遜河海豚 - 相思几多梦|
吕嘉遒 - 逝水年华|
颜丙沂 - 马缨花开|
漴尔 - 雪姨附体 (古剑版)|
儿童歌曲 - 58.跳皮筯|
艾糯勐傣 - 孤独的赶摆|
蟲紫 - 恰是你的温柔|
绿绮 - 山鳩|
择荇 - 雨巷|
爍妍 - 如果当时|
歳月儒歌 - 洪湖水浪打浪|
忍迅雷音 - 手裏修羅雷 (原版伴奏)|
中恵光城 - 無窮盟約|
钟恩淇 - 髻鬃花|
吴兆基 - 李颀:送魏万之京|
木风玉玚 - 十宗罪5 附录 柳营 第十二章诊所|
儿童歌曲 - 猢狲|
傻子哥 - 嫘乡行|
儿童歌曲 - 59狗戴嚼子|
椙山浩一 - 崩壊|
方淵 - 2012|
妮妮荩苒 - 想念夏天 (原版伴奏)|
妮妮荩苒 - 青鸟之守望 (原版伴奏)|
邓丽君 - 津軽海峡冬景色 (自制版伴奏)|
冰渃灆 - 俄罗斯套娃 (治愈版)|
网络歌手 - ?尐啝孒 (花花世界)|
滕志刚 - 爱情手铐 (原版伴奏)|
清祀 - 我的江湖是你|
鴇沢直 - 镇死剤|
三藏 - 饿殍|
歳月儒歌 - 情伤|
桜井謙悟 - 訓練場|
欦 - 小城谣|
十疴 - 杏仁|
韩永东 - 鄱阳漁歌 (笛子)|
酷咹 - 没人疼的丫头|
領獎 - 我想和你去一个地方|
